nrpess,segmento,cluster_engajamento,saldo_medio_conta,gasto_cartao_mes,freq_pix_mes,freq_boletos_mes,prob_organica_base
nrpess_000000,Varejo,Muito Engajado,1296.5,3484.75,19,7,0.842
nrpess_000001,Select,Muito Engajado,22456.35,4465.83,14,8,0.782
nrpess_000002,Especial,Moderado,5612.75,2390.92,6,3,0.33
nrpess_000003,Especial,Baixo Engajamento,13563.8,648.73,1,1,0.081
nrpess_000004,Varejo,Moderado,2463.53,1738.83,10,3,0.413
nrpess_000005,Varejo,Muito Engajado,1844.9,2271.34,17,2,0.562
nrpess_000006,Varejo,Muito Engajado,2863.55,3720.56,19,4,0.728
nrpess_000007,Select,Muito Engajado,15822.67,2841.71,17,4,0.656
nrpess_000008,Especial,Moderado,9198.82,1704.46,8,4,0.403
nrpess_000009,Especial,Muito Engajado,9828.05,2592.66,18,5,0.715
nrpess_000010,Varejo,Baixo Engajamento,2007.57,223.1,0,0,0.05
nrpess_000011,Private,Moderado,82111.67,2432.94,4,2,0.241
nrpess_000012,Select,Moderado,31586.28,945.58,9,2,0.329
nrpess_000013,Varejo,Muito Engajado,2727.94,4680.83,15,9,0.852
nrpess_000014,Varejo,Muito Engajado,1860.01,3722.15,24,9,0.95
nrpess_000015,Varejo,Moderado,2375.22,1961.47,11,4,0.484
nrpess_000016,Varejo,Baixo Engajamento,2350.04,593.58,3,1,0.13
nrpess_000017,Especial,Moderado,6814.56,1660.57,8,1,0.282
nrpess_000018,Varejo,Baixo Engajamento,1404.47,798.62,3,0,0.095
nrpess_000019,Varejo,Baixo Engajamento,2860.45,419.13,3,2,0.165
nrpess_000020,Especial,Muito Engajado,8161.2,4559.13,19,7,0.869
nrpess_000021,Varejo,Muito Engajado,1445.49,2842.55,14,6,0.661
nrpess_000022,Varejo,Moderado,2756.43,1168.37,7,4,0.364
nrpess_000023,Varejo,Moderado,962.18,1672.72,9,5,0.467
nrpess_000024,Varejo,Moderado,1024.03,1712.25,5,2,0.248
nrpess_000025,Especial,Moderado,8639.65,1497.59,10,1,0.327
nrpess_000026,Varejo,Moderado,3381.94,3066.3,6,2,0.307
nrpess_000027,Especial,Baixo Engajamento,10398.0,544.25,2,0,0.064
nrpess_000028,Especial,Muito Engajado,9207.02,3228.17,14,8,0.751
nrpess_000029,Varejo,Moderado,1887.36,2013.83,9,1,0.315
nrpess_000030,Especial,Moderado,10229.07,2058.47,7,6,0.466
nrpess_000031,Varejo,Moderado,2448.63,2112.28,6,3,0.323
nrpess_000032,Varejo,Moderado,373.82,2581.04,12,5,0.565
nrpess_000033,Select,Baixo Engajamento,27981.46,892.45,4,1,0.162
