session_id,nrpess,dt_jornada,ponto_entrada,tempo_tela_segundos,segmento,cluster_engajamento,saldo_medio_conta,gasto_cartao_mes,freq_pix_mes,freq_boletos_mes,prob_organica_base,id_campanha,nome_do_produto,espaco_veiculacao,tag_publico_macro,dt_exposicao,clicou_flag,delta_horas,peso_atribuicao_causal,venda_concluida_flag
sess_000000,nrpess_019421,2026-08-10 17:32:17.392753,campo_unico,36.6334286473169,Especial,Moderado,3496.32,2140.48,14,1,0.444,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000001,nrpess_015264,2026-08-22 10:33:26.783528,campo_unico,38.149911246155156,Especial,Moderado,7184.82,873.51,11,1,0.337,CAMP_0113,Seguro Pix,Banner Home,Especial sem Seguro,2026-08-15 02:47:50.199818,0.0,175.76016214166668,0.0,1
sess_000002,nrpess_020838,2026-08-04 13:13:46.523669,atalho_direto,35.3189880360602,Especial,Baixo Engajamento,6404.96,618.85,1,1,0.08,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000005,nrpess_018607,2026-08-04 08:40:40.933938,campo_unico,15.148322747854372,Varejo,Muito Engajado,2524.6,3012.98,18,4,0.685,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000009,nrpess_013987,2026-08-23 15:10:15.808696,atalho_direto,53.341268621880644,Varejo,Moderado,2663.59,2013.39,9,5,0.475,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000010,nrpess_010795,2026-08-08 17:42:35.873713,campo_unico,89.22704173937338,Varejo,Moderado,531.23,1675.99,8,2,0.322,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000011,nrpess_009982,2026-08-02 21:50:50.609209,atalho_direto,47.86013817894803,Varejo,Moderado,1490.39,1248.78,13,1,0.396,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,0
sess_000012,nrpess_013961,2026-08-12 10:46:23.039760,atalho_direto,48.35919068464437,Especial,Moderado,8007.13,1300.6,9,0,0.258,CAMP_0102,Cartão Black,Banner Home,Alta Renda Pix,2026-08-06 16:42:04.108288,0.0,138.0719254088889,0.0,0
sess_000013,nrpess_006889,2026-08-18 09:32:27.957427,camera_scanner,70.50066460706711,Especial,Moderado,8887.79,1355.08,8,2,0.314,CAMP_0105,Seguro Pix,Pós-Pix Transacional,Especial sem Seguro,2026-08-08 02:25:45.629255,0.0,247.11175782555557,0.0,1
sess_000014,nrpess_024749,2026-08-21 19:34:07.580837,campo_unico,69.56299678878663,Private,Moderado,98541.72,1337.19,12,4,0.493,,Transação Padrão,Orgânico Puro (Sem Campanha),,,,999.0,0.0,1
sess_000015,nrpess_022573,2026-08-20 17:10:35.460307,campo_unico,45.64673631041364,Especial,Moderado,6944.9,2484.68,9,3,0.407,CAMP_0107,Pix Parcelado,Pós-Pix Transacional,Alta Renda Pix,2026-08-18 11:56:47.071862,0.0,53.230107901388884,0.027398898118586826,0
