id_campanha,nrpess,nome_do_produto,espaco_veiculacao,tag_publico_macro,dt_exposicao,clicou_flag
CAMP_0103,nrpess_011301,Consórcio Auto,Push Notification,Especial sem Seguro,2026-08-19 10:28:58.581723,0
CAMP_0108,nrpess_006763,Pix Parcelado,Push Notification,Especial sem Seguro,2026-08-08 03:28:49.724473,0
CAMP_0102,nrpess_005796,Seguro Pix,Carrossel Ofertas,Alta Renda Pix,2026-08-19 21:44:05.605043,0
CAMP_0106,nrpess_010628,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-12 07:41:18.817779,0
CAMP_0105,nrpess_011670,Seguro Pix,Push Notification,Alta Renda Pix,2026-08-10 19:54:45.551523,0
CAMP_0107,nrpess_001863,Pix Parcelado,Push Notification,Especial sem Seguro,2026-08-21 03:03:09.291115,1
CAMP_0114,nrpess_000983,Seguro Pix,Push Notification,Propensos a Cartão,2026-08-05 07:37:26.242209,0
CAMP_0102,nrpess_006929,Cartão Black,Banner Home,Geral App,2026-08-12 09:55:13.481514,0
CAMP_0111,nrpess_003153,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-14 08:33:05.823498,0
CAMP_0113,nrpess_017508,Cartão Black,Banner Home,Geral App,2026-08-08 13:30:49.700236,1
CAMP_0103,nrpess_013592,Consórcio Auto,Banner Home,Alta Renda Pix,2026-08-14 21:47:52.754965,0
CAMP_0105,nrpess_021154,Seguro Pix,Push Notification,Propensos a Cartão,2026-08-10 09:30:52.171399,0
CAMP_0108,nrpess_004744,Pix Parcelado,Banner Home,Especial sem Seguro,2026-08-03 14:39:50.607655,0
CAMP_0110,nrpess_008407,Seguro Pix,Push Notification,Especial sem Seguro,2026-08-21 04:27:56.411995,0
CAMP_0105,nrpess_008308,Cartão Black,Push Notification,Geral App,2026-08-13 03:03:57.566498,0
CAMP_0112,nrpess_020689,Seguro Pix,Push Notification,Especial sem Seguro,2026-08-15 17:21:36.198735,0
CAMP_0105,nrpess_023051,Pix Parcelado,Pós-Pix Transacional,Propensos a Cartão,2026-08-17 16:05:09.622645,1
CAMP_0104,nrpess_013274,Pix Parcelado,Pós-Pix Transacional,Propensos a Cartão,2026-08-17 14:42:35.222519,0
CAMP_0103,nrpess_006736,Cartão Black,Banner Home,Alta Renda Pix,2026-08-10 08:41:30.570469,0
CAMP_0112,nrpess_013335,Seguro Pix,Banner Home,Geral App,2026-08-16 10:33:09.030718,0
CAMP_0103,nrpess_015592,Seguro Pix,Push Notification,Geral App,2026-08-15 06:08:42.672160,0
CAMP_0102,nrpess_000932,Cartão Black,Banner Home,Especial sem Seguro,2026-08-12 09:22:18.504289,0
CAMP_0109,nrpess_014347,Pix Parcelado,Banner Home,Propensos a Cartão,2026-08-06 02:29:16.519924,0
CAMP_0112,nrpess_002261,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-20 12:31:28.947216,0
CAMP_0111,nrpess_003978,Cartão Black,Banner Home,Geral App,2026-08-17 04:20:28.550211,0
CAMP_0114,nrpess_017053,Seguro Pix,Banner Home,Geral App,2026-08-12 21:30:43.803312,0
CAMP_0106,nrpess_012642,Seguro Pix,Push Notification,Propensos a Cartão,2026-08-04 09:38:15.201946,0
CAMP_0100,nrpess_017716,Pix Parcelado,Carrossel Ofertas,Alta Renda Pix,2026-08-06 20:44:28.678491,0
CAMP_0100,nrpess_001944,Cartão Black,Pós-Pix Transacional,Especial sem Seguro,2026-08-13 19:10:34.533299,1
CAMP_0111,nrpess_005171,Seguro Pix,Push Notification,Geral App,2026-08-08 12:45:45.001338,0
CAMP_0100,nrpess_007800,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-10 01:07:15.425157,0
CAMP_0107,nrpess_010145,Pix Parcelado,Banner Home,Propensos a Cartão,2026-08-13 05:10:57.448351,0
CAMP_0114,nrpess_009251,Seguro Pix,Banner Home,Geral App,2026-08-02 09:41:04.494395,1
CAMP_0103,nrpess_022912,Seguro Pix,Banner Home,Geral App,2026-08-08 20:43:53.688471,0
CAMP_0110,nrpess_018629,Seguro Pix,Push Notification,Geral App,2026-08-09 00:53:37.135172,0
CAMP_0108,nrpess_008569,Consórcio Auto,Carrossel Ofertas,Propensos a Cartão,2026-08-03 17:40:06.844907,0
CAMP_0112,nrpess_017273,Cartão Black,Pós-Pix Transacional,Propensos a Cartão,2026-08-08 01:08:42.104949,1
CAMP_0104,nrpess_011206,Cartão Black,Pós-Pix Transacional,Especial sem Seguro,2026-08-15 02:16:50.699865,0
CAMP_0101,nrpess_013152,Consórcio Auto,Push Notification,Especial sem Seguro,2026-08-13 06:35:25.381508,0
CAMP_0112,nrpess_012723,Cartão Black,Banner Home,Especial sem Seguro,2026-08-16 16:00:39.101597,0
CAMP_0103,nrpess_024180,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-16 01:01:34.981829,0
CAMP_0107,nrpess_014579,Pix Parcelado,Carrossel Ofertas,Especial sem Seguro,2026-08-12 06:39:34.709361,0
CAMP_0103,nrpess_000654,Pix Parcelado,Pós-Pix Transacional,Alta Renda Pix,2026-08-02 14:49:10.366791,0
CAMP_0106,nrpess_024016,Cartão Black,Banner Home,Alta Renda Pix,2026-08-13 02:45:15.434130,0
CAMP_0107,nrpess_005880,Seguro Pix,Push Notification,Geral App,2026-08-22 03:14:23.260793,0
CAMP_0101,nrpess_012453,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-12 18:48:50.041933,1
CAMP_0101,nrpess_024933,Seguro Pix,Pós-Pix Transacional,Alta Renda Pix,2026-08-10 21:45:29.183971,0
CAMP_0112,nrpess_005107,Consórcio Auto,Push Notification,Propensos a Cartão,2026-08-11 20:30:24.530151,0
CAMP_0114,nrpess_003007,Cartão Black,Banner Home,Geral App,2026-08-15 01:30:03.153704,0
CAMP_0100,nrpess_006551,Pix Parcelado,Push Notification,Alta Renda Pix,2026-08-18 19:48:00.651155,0
CAMP_0106,nrpess_021163,Consórcio Auto,Banner Home,Geral App,2026-08-15 11:17:17.466007,0
CAMP_0110,nrpess_022857,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-19 11:42:04.585168,0
CAMP_0109,nrpess_003543,Consórcio Auto,Carrossel Ofertas,Propensos a Cartão,2026-08-07 16:16:47.627393,1
CAMP_0102,nrpess_004513,Consórcio Auto,Banner Home,Alta Renda Pix,2026-08-11 00:35:52.911716,0
CAMP_0109,nrpess_015373,Seguro Pix,Pós-Pix Transacional,Alta Renda Pix,2026-08-18 20:59:34.504015,0
CAMP_0110,nrpess_018787,Pix Parcelado,Push Notification,Alta Renda Pix,2026-08-05 21:28:48.337719,0
CAMP_0102,nrpess_006487,Cartão Black,Pós-Pix Transacional,Especial sem Seguro,2026-08-07 12:17:17.262041,1
CAMP_0100,nrpess_018983,Seguro Pix,Pós-Pix Transacional,Especial sem Seguro,2026-08-19 08:46:55.333062,0
CAMP_0114,nrpess_010344,Seguro Pix,Push Notification,Geral App,2026-08-17 20:27:44.575994,0
CAMP_0103,nrpess_005642,Seguro Pix,Push Notification,Geral App,2026-08-19 11:07:37.476640,0
CAMP_0111,nrpess_021700,Consórcio Auto,Carrossel Ofertas,Alta Renda Pix,2026-08-10 23:45:03.391792,0
CAMP_0114,nrpess_005442,Pix Parcelado,Banner Home,Especial sem Seguro,2026-08-02 16:07:05.056367,0
CAMP_0113,nrpess_016460,Pix Parcelado,Banner Home,Alta Renda Pix,2026-08-05 13:51:09.802886,0
CAMP_0111,nrpess_007191,Pix Parcelado,Carrossel Ofertas,Geral App,2026-08-15 13:36:15.598378,0
CAMP_0100,nrpess_004061,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-12 00:43:07.912976,0
CAMP_0109,nrpess_021473,Pix Parcelado,Pós-Pix Transacional,Propensos a Cartão,2026-08-05 00:08:25.507902,0
CAMP_0105,nrpess_016017,Pix Parcelado,Banner Home,Geral App,2026-08-13 20:57:11.635890,0
CAMP_0101,nrpess_017012,Consórcio Auto,Pós-Pix Transacional,Especial sem Seguro,2026-08-03 17:58:08.396261,0
CAMP_0108,nrpess_023566,Seguro Pix,Push Notification,Alta Renda Pix,2026-08-09 13:23:40.511748,0
CAMP_0113,nrpess_006735,Consórcio Auto,Banner Home,Propensos a Cartão,2026-08-20 12:05:00.387188,0
CAMP_0114,nrpess_003130,Seguro Pix,Pós-Pix Transacional,Especial sem Seguro,2026-08-14 00:04:16.288121,0
CAMP_0114,nrpess_010121,Cartão Black,Pós-Pix Transacional,Propensos a Cartão,2026-08-09 03:21:40.985873,0
CAMP_0105,nrpess_023555,Pix Parcelado,Push Notification,Alta Renda Pix,2026-08-02 09:51:14.430486,0
CAMP_0107,nrpess_008293,Pix Parcelado,Push Notification,Especial sem Seguro,2026-08-15 09:19:02.033611,0
CAMP_0106,nrpess_008405,Seguro Pix,Push Notification,Propensos a Cartão,2026-08-18 08:32:22.812839,0
CAMP_0111,nrpess_014424,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-10 03:11:14.573335,0
CAMP_0105,nrpess_021731,Cartão Black,Banner Home,Especial sem Seguro,2026-08-20 15:19:29.047881,0
CAMP_0103,nrpess_018451,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-08 11:13:27.170098,0
CAMP_0100,nrpess_014441,Pix Parcelado,Carrossel Ofertas,Propensos a Cartão,2026-08-02 23:34:09.392245,0
CAMP_0103,nrpess_018145,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-15 22:31:26.285427,0
CAMP_0113,nrpess_003671,Cartão Black,Pós-Pix Transacional,Geral App,2026-08-06 15:03:36.240795,0
CAMP_0110,nrpess_022273,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-07 22:49:14.033779,0
CAMP_0107,nrpess_019343,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-11 17:58:23.154741,0
CAMP_0106,nrpess_009838,Seguro Pix,Pós-Pix Transacional,Propensos a Cartão,2026-08-02 23:46:40.221112,0
CAMP_0114,nrpess_006059,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-17 04:21:40.776278,0
CAMP_0108,nrpess_000519,Pix Parcelado,Banner Home,Propensos a Cartão,2026-08-19 16:21:36.937242,0
CAMP_0114,nrpess_013453,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-03 16:37:58.014100,0
CAMP_0104,nrpess_003220,Pix Parcelado,Pós-Pix Transacional,Geral App,2026-08-19 00:01:49.028829,0
CAMP_0108,nrpess_024718,Seguro Pix,Banner Home,Especial sem Seguro,2026-08-13 19:50:46.191776,1
CAMP_0104,nrpess_012929,Seguro Pix,Push Notification,Propensos a Cartão,2026-08-04 04:36:09.586394,0
CAMP_0108,nrpess_019569,Seguro Pix,Banner Home,Alta Renda Pix,2026-08-18 03:25:17.926912,0
CAMP_0111,nrpess_014391,Seguro Pix,Banner Home,Propensos a Cartão,2026-08-15 07:48:20.162778,1
CAMP_0109,nrpess_023408,Pix Parcelado,Pós-Pix Transacional,Especial sem Seguro,2026-08-02 09:32:53.698878,0
CAMP_0108,nrpess_009410,Cartão Black,Push Notification,Especial sem Seguro,2026-08-10 11:21:38.526701,0
CAMP_0109,nrpess_024271,Consórcio Auto,Push Notification,Propensos a Cartão,2026-08-06 23:56:30.826191,0
CAMP_0110,nrpess_016409,Pix Parcelado,Banner Home,Especial sem Seguro,2026-08-10 16:12:49.546818,0
CAMP_0114,nrpess_001749,Cartão Black,Pós-Pix Transacional,Propensos a Cartão,2026-08-08 00:47:24.730150,0
CAMP_0104,nrpess_005425,Cartão Black,Carrossel Ofertas,Alta Renda Pix,2026-08-04 05:59:36.446992,0
CAMP_0109,nrpess_001699,Consórcio Auto,Pós-Pix Transacional,Especial sem Seguro,2026-08-01 22:37:48.617448,0
CAMP_0106,nrpess_004720,Cartão Black,Pós-Pix Transacional,Geral App,2026-08-21 17:43:13.650323,1
CAMP_0111,nrpess_002119,Seguro Pix,Banner Home,Especial sem Seguro,2026-08-21 09:04:44.716319,0
CAMP_0102,nrpess_006471,Consórcio Auto,Pós-Pix Transacional,Propensos a Cartão,2026-08-05 04:36:50.571684,0
CAMP_0110,nrpess_012560,Seguro Pix,Push Notification,Alta Renda Pix,2026-08-18 17:49:18.090528,0
CAMP_0102,nrpess_009834,Consórcio Auto,Banner Home,Propensos a Cartão,2026-08-13 20:41:59.114112,0
CAMP_0114,nrpess_024818,Consórcio Auto,Banner Home,Especial sem Seguro,2026-08-08 08:08:31.584333,0
CAMP_0107,nrpess_004423,Cartão Black,Banner Home,Especial sem Seguro,2026-08-14 22:46:07.819463,0
CAMP_0100,nrpess_018658,Cartão Black,Pós-Pix Transacional,Especial sem Seguro,2026-08-02 13:25:57.011471,0
CAMP_0105,nrpess_015230,Seguro Pix,Push Notification,Especial sem Seguro,2026-08-09 00:14:30.717544,0
CAMP_0101,nrpess_006302,Cartão Black,Pós-Pix Transacional,Alta Renda Pix,2026-08-08 22:43:59.690570,0
CAMP_0104,nrpess_008779,Seguro Pix,Pós-Pix Transacional,Especial sem Seguro,2026-08-17 19:26:45.682768,0
CAMP_0110,nrpess_003319,Seguro Pix,Pós-Pix Transacional,Propensos a Cartão,2026-08-16 07:33:22.770344,0
CAMP_0112,nrpess_001499,Seguro Pix,Push Notification,Especial sem Seguro,2026-08-04 13:20:50.737193,0
CAMP_0107,nrpess_016018,Cartão Black,Pós-Pix Transacional,Geral App,2026-08-15 08:41:11.192174,0
