session_id,nrpess,dt_jornada,ponto_entrada,tempo_tela_segundos
sess_000000,nrpess_019421,2026-08-10 17:32:17.392753,campo_unico,36.6334286473169
sess_000001,nrpess_015264,2026-08-22 10:33:26.783528,campo_unico,38.149911246155156
sess_000002,nrpess_020838,2026-08-04 13:13:46.523669,atalho_direto,35.3189880360602
sess_000003,nrpess_011289,2026-08-06 23:05:51.568619,camera_scanner,37.63631671506863
sess_000004,nrpess_009334,2026-08-04 12:54:24.062708,campo_unico,58.92049165599435
sess_000005,nrpess_018607,2026-08-04 08:40:40.933938,campo_unico,15.148322747854372
sess_000006,nrpess_023647,2026-08-03 10:24:11.838483,campo_unico,36.991715871508
sess_000007,nrpess_009371,2026-08-09 23:18:02.835017,camera_scanner,28.791831763795685
sess_000008,nrpess_011476,2026-08-04 04:12:30.503399,campo_unico,39.6965951652364
sess_000009,nrpess_013987,2026-08-23 15:10:15.808696,atalho_direto,53.341268621880644
sess_000010,nrpess_010795,2026-08-08 17:42:35.873713,campo_unico,89.22704173937338
sess_000011,nrpess_009982,2026-08-02 21:50:50.609209,atalho_direto,47.86013817894803
sess_000012,nrpess_013961,2026-08-12 10:46:23.039760,atalho_direto,48.35919068464437
sess_000013,nrpess_006889,2026-08-18 09:32:27.957427,camera_scanner,70.50066460706711
sess_000014,nrpess_024749,2026-08-21 19:34:07.580837,campo_unico,69.56299678878663
sess_000015,nrpess_022573,2026-08-20 17:10:35.460307,campo_unico,45.64673631041364
sess_000016,nrpess_010549,2026-08-10 16:34:13.562433,campo_unico,42.20178001220157
sess_000017,nrpess_019866,2026-08-05 02:28:49.063899,atalho_direto,62.66505235906328
sess_000018,nrpess_002819,2026-08-03 12:15:51.516197,campo_unico,38.18425904810016
sess_000019,nrpess_003852,2026-08-14 03:24:52.310863,campo_unico,34.64429415749565
sess_000020,nrpess_014148,2026-08-06 21:06:26.986071,campo_unico,26.886055878392405
sess_000021,nrpess_012050,2026-08-04 10:24:23.187725,campo_unico,57.78971272033278
sess_000022,nrpess_004332,2026-08-09 07:47:46.013582,campo_unico,64.35808964196025
sess_000023,nrpess_000209,2026-08-22 07:08:09.440299,campo_unico,41.154356172298755
sess_000024,nrpess_006327,2026-08-17 19:12:49.492179,camera_scanner,50.88350680249863
sess_000025,nrpess_019746,2026-08-16 16:19:08.340986,campo_unico,61.64222819181198
sess_000026,nrpess_003981,2026-08-11 06:54:00.120262,campo_unico,21.21845541141003
sess_000027,nrpess_010870,2026-08-02 01:00:56.709067,campo_unico,33.58149107209042
sess_000028,nrpess_017897,2026-08-12 04:11:38.470788,camera_scanner,52.91113760055728
sess_000029,nrpess_018383,2026-08-13 04:54:39.636545,camera_scanner,23.2342083220063
sess_000030,nrpess_015950,2026-08-17 19:59:13.297278,campo_unico,66.97235097602781
sess_000031,nrpess_013778,2026-08-21 22:28:26.473693,camera_scanner,54.06733866317818
sess_000032,nrpess_007515,2026-08-12 16:35:15.894528,atalho_direto,36.950736961913336
sess_000033,nrpess_022640,2026-08-21 09:30:49.639588,campo_unico,38.36613110975086
sess_000034,nrpess_006205,2026-08-14 03:59:21.228656,atalho_direto,54.40363571310636
sess_000035,nrpess_011116,2026-08-10 15:46:33.361774,campo_unico,31.111851833973482
